repo_id,releases_name,star_count,releases_made_public_at
44838949,apple/swift,25777,1.449161107E9
49970642,yarnpkg/yarn,16068,1.4761974E9
45717250,tensorflow/tensorflow,14520,1.447074694E9
29028775,facebook/react-native,13186,1.427389638E9
29268051,google/material-design-lite,12850,1.436196117E9
25315643,nylas/N1,11926,1.444046501E9
42751014,zenorocha/clipboard.js,9211,1.443397164E9
41881900,Microsoft/vscode,9186,1.447861933E9
63537249,facebookincubator/create-react-app,9085,1.469203357E9
35955666,jlevy/the-art-of-command-line,8088,1.432144679E9
53809090,juliangarnier/anime,7826,1.467033886E9
41058054,isocpp/CppCoreGuidelines,7714,1.442201178E9
49009950,braydie/HowToBeAProgrammer,7180,1.45208164E9
62367558,zeit/hyperterm,6898,1.467422137E9
50134307,DrkSephy/es6-cheatsheet,6695,1.453413097E9
50603846,ParsePlatform/parse-server,6684,1.454017435E9
45936895,Automattic/wp-calypso,6431,1.448297065E9
11829145,basecamp/trix,5830,1.445083358E9
59480719,CRYTEK-CRYENGINE/CRYENGINE,5751,1.464084263E9
47524979,guarinogabriel/mac,5705,1.466376195E9
