repo,star_count
github/gh-ost,2189
electron/electron-api-demos,1942
electron/devtron,897
jekyll/jekyll-admin,740
github/gov-takedowns,525
github/synsanity,348
github/game-off-2016,262
github/graphql-client,254
github/ccql,205
jekyll/minima,198
github/github-graphql-rails-example,124
github/octocatalog-diff,117
github/multibinder,83
github/multibinder,83
primer/stylelint-config-primer,76
github/mysql-haproxy-xinetd,61
broccolini/swiss,58
bkeepers/PRobot,32
github/open-source-survey,30
broccolini/athena,24
broccolini/athena,24
sroberts/jager,23
kuychaco/bb8-electron-app,23
github/maturity-model,22
simurai/chameleon-ui,18
jonrohan/browserl.ist,18
davidcelis/SunPaper,18
simurai/chameleon-syntax,18
Haacked/encourage-atom,18
parkr/auto-reply,15
mhagger/diff-slider-tools,15
github/ohnogit,15
mislav/go-travis,14
jekyll/dashboard,13
primer/jekyll-octicons,12
bkeepers/envy,11
shiftkey/hermes,11
jnewland/kubernetes-pod-chaos-monkey,10
loranallensmith/brightwheel,9
primer/github-syntax-theme-generator,9
Caged/tile-stitch,8
github/graphql-relay-walker,8
github/graphql-relay-walker,8
github/eslint-plugin-github,6
CoralineAda/synack,6
primer/octicons_gem,6
lee-dohm/community-manager,6
education/classroom-desktop,6
fatcomma/status-watcher,5
bkeepers/producingoss,5
jdennes/streaker,5
primer/tooltips,3
primer/utilities,3
primer/octicons_helper,3
saraford/train-your-hubot,3
primer/avatars,2
atom/ui,2
primer/stylelint-selector-no-utility,2
zeke/electron-universe,2
kivikakk/syso,2
jatoben/RocksDB,2
atom/atom-select-list,2
joenash/apiapi,1
pmarsceill/patrickmarsceill.com,1
antn/antons-sandbox,1
primer/flex-table,1
leereilly/goat,1
k33g/web.2.day.golo,1
mtodd/midi2stdout,1
djdefi/ncerc-it-training,1
primer/buttons,1
stoe/my-code-sucks,1
dewski/tesla,1
webdog/hookreceiver,1
primer/autocomplete-primer,1
jonmagic/foreverrememberme,1
stoe/my-code-sucks,1
primer/keynote-octicons,1
primer/base,1
mtodd/sampler,1
primer/states,1
jdennes/zenit,1
stevecat/catnap,1
primer/truncate,1
zeke/ga-code-challenge,1
k33g/voxxed.lu.functional.js,1
chobberoni/typos,1
joshaber/bucklescript-react-test,1
halfaro1/travel-log,1
