repo_id,repo_name,event_count,new_contributors_count
20372685,bloodycoder/VirtualTkinter,367,367
25231100,test,5842,5836
70275674,amattson21/gitjob,8195,8180
34914134,MasoudH/Yosemite-Chess,323,322
26159712,kidbai/haixiu-crawler,603,601
37548517,phase/sure,6063,6038
54702000,bloodycoder/Zhihu_craw,610,606
13166804,Octodog_Invasion,1842,1829
65364756,Xiao187/Cto,3086,3062
29862806,MasoudH/Breaking-Bad-Paint,325,322
69188468,mamal72/star-bomb,101,100
29978087,MasoudH/Whiteboard,187,185
14803499,philippetavernier/arduino-serial,737,729
4185633,josephyzhou/rt,155,153
62936724,AnupKumarPanwar/Ionic-FB-Login-PHP-MySQL-DB-AdMob,609,601
59704956,gedeagas/alumniananda,152,150
43786270,MasoudH/Gradience,202,199
39187134,bloodycoder/website_downloader,130,128
23082495,YouAreAwesome,2203,2167
10476868,josephyzhou/dotfiles,328,322
34028307,ninjatrench/restPickle,256,251
54746656,creart/jedease,102,100
21812864,koi646/javascript-demo,197,193
31281134,MasoudH/McPaint,333,326
55282410,mortonNex/test03,139,136
23902230,CosmosBrowserBackend,13653,13352
64002744,bloodycoder/skeleton,725,709
70275674,amattson21/gitlove,264,258
41573817,Swift-Kit/JZAvatarNSImageView,256,250
48719130,Swift-Kit/JZBitByteNSData,255,249
55282426,mortonNex/test06,113,110
38684234,bloodycoder/ideaBooster,111,108
60984573,iamjusttestingcrazy/testing-ape-shit,209,203
43786245,MasoudH/McPaint,206,200
55282405,mortonNex/test02,134,130
50078426,bloodycoder/pingke,132,128
51350509,ZhyTeam/ZhyCore,2510,2432
61858513,iamjusttestingcrazy/capability-testing-starbot,139,134
59032301,egorsmkv/google-spaces,2764,2659
43786243,MasoudH/Breaking-Bad-Paint,208,200
26906705,NimbusBase_Android_Tutorial,2625,2514
43786147,MasoudH/Yosemite-Chess,211,202
13645789,josephyzhou/Wonging,203,194
47297806,markgould/NSBCon2015.Hackathon,307,293
29862806,MasoudH/Paint,198,188
26268854,prid.js,431,409
44917429,DmitryAuine/React-Flux-Boilerplate,270,256
33247886,Octofool/Fools,509,480
31999347,CleverbotIO/node-cleverbot.io,1420,1336
71554086,WangCheese/MarketModuleBG,741,697
73711888,propwnadmin/propwnadmin.github.io,249,233
65503490,creart/ChunkNorris,106,99
72973232,propwnadmin/EmptyProject,132,123
32502966,spasmilo/electrum,551,513
65992229,liushuchun/fetchfileforblog,111,103
44561343,amitbend/aliexpress-API-wrapper-,171,158
55282422,mortonNex/test05,142,131
43786258,MasoudH/Whiteboard,219,201
48549073,laravelme/learning-laravel5.2,121,111
50095165,zakattax/bitscript-temperate,1445,1325
22677115,Foundry,3709,3400
58801221,EasonWang01/dom-schema,106,97
67854443,Bupterambition/AwesomeCommand,2242,2051
61489113,Bupterambition/MGJPFIntroguideView,478,435
16476472,josephyzhou/node-ethereum,170,154
62733147,ayushoriginal/News-Feed-and-Digest,156,141
29710464,MasoudH/Gradience,205,185
67606154,Mukarr/ldap_auth,110,99
54179184,dtesler/slackshell,286,257
44493702,ironmaniiith/Github-profile-name-writer,1762,1581
65616846,gacel112/atccargo,447,401
49998828,huanxsd/BDImagePicker,132,118
35822169,joni2back/inline.js,500,444
3780479,everyme-legal,213,189
25652137,galaxy,9410,8325
47856665,Skylifee7/ProjectVolo,126,111
49765768,LightningNetwork/lightning-onion,488,429
56186352,davidsilveiro/TweetSploit,181,159
55876992,giacomocerquone/angular2-mean-starter,1624,1426
55282339,mortonNex/test01,171,148
12819889,San-Francisco-Open-Data-Legislation,283,243
26886336,quantum-os.github.io,1170,996
37404669,CommonQ/XSwipeRefresh,123,104
71584631,zkzy/PullToRefresh,129,109
67854443,Bupterambition/kZMoonCommand,159,134
24441410,Chat,747,627
64161875,TheOrchid/Widget,164,137
51418726,UnivaqTelegramBot/UnivaqInformaticaBot,2214,1848
1953362,kailashbuki/fingerprint,239,199
64842322,paramminhas/star,143,119
1065672,glassesfactory/glassesfactory,252,209
55290622,zaqqaz/ng-rest-api,1194,990
57238438,davidsilveiro/The-C-Learning-Framework,172,142
25999066,CommonQ/Android-Photo-Cropper,126,104
33603295,ninjatrench/InstaStat,332,273
9268614,meta-gstreamer1.0,493,405
51635370,josephyzhou/producthunt-trending,467,383
55294602,zaqqaz/ng2-rest-api,1159,935
17026710,woyaofacai/YMX2D,183,145
11981949,MCMrARM/modpe-mods,179,141
62731503,ayushoriginal/Two-pass-Assembler,163,128
28426261,erayarslan/life,130,102
16609159,embedapi,294,230
66547173,Bupterambition/objc-format-check,325,254
7230082,harvesthq.github.com,121,94
62892221,hyy1115/react-redux-webpack,233,181
22721997,TableViewCellFlip,120,93
71096477,Xiao187/Ablepsia,217,168
54882428,philchia/go_redis_client,425,329
32935880,enginebai/Movie-lol-android,399,305
12603747,Bike-Share-Data-Best-Practices,296,225
14204342,datasharing,69613,52793
47632754,stepify/stepifyIOS,1101,832
1374177,cldwalker/one9,198,149
70369610,WangCheese/MarketModule,1014,763
45658842,pcoutin/blargh,152,114
55555065,omgimanerd/nycurl,269,201
14204342,jtleek/datasharing,111043,82840
52880018,kanemontreuil/gherkin-snippets,147,109
58434101,EasonWang01/All2Json,162,120
60097708,Fnoz/FNRentalPullToRefresh,156,114
13650616,tombailey/McPeScripts,376,274
18433393,kafan15536900/ADfree-Player-Offline,829,604
22599444,SUI-Mobile,148,107
54768991,ntop/wireshark,115,83
52566744,kanemontreuil/blog,168,121
48105071,TheOrchid/Socket,393,281
49946915,DiSiqueira/DSImgur,142,100
549638,pixelmatrix/mapkey,155,109
1358961,msporny/dna,382,268
2610812,Constitution,271,190
11187362,createSingleton,257,180
3949827,Spiffing,368,257
36245991,sphinx02/AppStarter,500,347
2736292,zurmo/Zurmo,136,94
32320647,zueve/neurolab,535,368
58783279,enginebai/PyMessager,266,182
11187383,EncryptionHelper,259,177
38347270,Paarthri/Color_Smash,146,99
61282048,Fnoz/FNFoldingTabBar,209,141
22427243,furkan,226,151
391650,gilt.github.com,117,78
591008,xserver,233,155
11981949,modpe-mods,379,251
794632,karthick18/inception,340,225
483605,platform45/nakedpassword,289,190
1029910,facebook/platform-samples,306,200
5478746,libmono-d,547,355
1296269,octocat/Hello-World,1807,1169
12647696,flu-shot-spec,287,185
72299435,yangweigbh/VolleyX,315,203
1350871,ngspinners/lightnode,182,117
1300192,Spoon-Knife,59736,38320
3873324,chef-libqt4,1435,907
11206992,intercom.io,286,180
11628931,dennismagno/winforms-modernui,349,219
50391320,kanemontreuil/personal-portfolio,219,137
49087234,sahildua2305/hackIDE,1303,813
23204168,VMXMLParser,151,94
13650616,McPeScripts,937,580
51111320,kanemontreuil/developer-advice,234,143
2516300,dive-into-python3,190,116
73426688,ShaojieLiu/ShaojieLiu.github.io,292,178
8115587,libdbusmenu,197,120
4550737,PrusaMendel,475,288
50010842,huanxsd/AWA,201,121
1699826,game-of-life,4789,2877
51885000,kanemontreuil/local-weather,215,129
1357116,ezmobius/super-nginx,183,109
6445811,curso-android-src,1819,1080
3373795,DAReloadActivity,134,79
5032874,libdbusmenu-qt,180,105
5506435,emoji,343,200
58240947,EasonWang01/elm-lang-chinese-manual,163,95
69270407,hussien89aa/androidTutorialForBeginners,628,364
22896115,L-Assemblies,846,488
3347081,saasbook/hw3_rottenpotatoes,111,64
9961343,Nilhcem/hosts-editor-android,444,256
300128,multitheftauto/multitheftauto,369,211
127948,libmonome,673,383
59954860,qingyunhe/WanHeGardenShop,259,147
1449225,digdog/UIDickBar,312,177
62522951,qingyunhe/HQYMainViewController,113,64
10926270,trophymanager,160,90
18194487,jlord/hello-world,953,536
2085412,SFACT,255,143
1300192,octocat/Spoon-Knife,93249,52128
22674707,tyypjs,171,95
487458,tav/pylibs,128,71
21066490,cryptonote,181,100
17467,mirrors/linux-2.6,1677,925
60851073,prachi1210/starbot,843,463
1233813,wowus/pipe,155,85
245893,Decider,351,192
465349,jejacks0n/navigasmic,305,166
8654975,PluralsightSpaJumpStartFinal,1181,642
46225821,LuKane/KNBannerView,269,146
64769252,jaikydota/Andorid-ImagesPickers,159,86
3439505,DAAutoScroll,130,70
17025202,woyaofacai/GameFinal,303,163
4550737,prusajr/PrusaMendel,106,57
7353007,AC3-Killer,160,86
14813367,megamoji,261,140
1296269,Hello-World,2277,1220
39186987,wmzsoft/JXADF,896,480
609787,php-sdk,694,369
3804836,dance,326,173
11337218,screenbird,138,73
22482112,SDFeedParser,636,336
7327188,PHPixie/Project,2976,1564
19410999,emojize,243,127
69124810,duboviy/pybenchmark,219,114
64912020,olucurious/AppFramer,183,95
36852121,loverszhaokai/ALG,240,123
8611101,javatechig-android-ui,348,178
71506455,ayushoriginal/Sentiment-Analysis-Twitter,366,187
4803506,DAAnisotropicImage,233,119
59940137,Fnoz/FNBlingBlingLabel,338,172
282435,whymirror/unholy,132,67
66578160,coolcooldee/sloth,227,115
11831825,Puls3-America,522,264
2553402,Code4Reference,1308,661
51520592,GreatStars/AwesomeStars,392,198
904766,PrusaMendel,159,80
1559968,SCM-Music-Player,1542,775
13007551,vim-emoji,269,135
11628931,dennismagno/metroframework-modern-ui,868,432
28670798,rdpeng/practice_assignment,1789,889
16125700,Puls2014-America,690,342
8522731,dadrivr/FantasyFootballAnalyticsR,1542,764
15917132,ProgrammingAssignment2,39312,19409
7778764,samples,709,350
3347081,hw3_rottenpotatoes,3995,1970
11337218,adamhub/screenbird,132,65
23064,dima/restfulx_framework,189,93
43391195,movielala/VideoThumbnailViewKit,419,206
651996,ChevyRay/FlashPunk,177,87
8877717,javatechig-android-advanced,446,219
73781385,TheOrchid/Platform,320,157
6137,madrobby/scriptaculous,784,384
19871195,derekfranks/practice_assignment,1161,568
734883,facebook/csharp-sdk,182,89
